NO.,STATION,NAME,DATE,AWND(avg wind speed),PRCP(precipitation),SNOW(snowfall),TAVG(temprature avg),WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22,YYYY,Date,Var.28,Tm,home,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
664,USW00014739,"BOSTON, MA US",6/15/16,10.07,0,0,74,290,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Jun 15,2016",boxscore,BOS,,BAL,W,6,4,,37-27,1,Tied,Wright,Gausman,Kimbrel,02:58,N,36233,+,
674,USW00014739,"BOSTON, MA US",6/16/16,6.93,0,0,71,110,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Thursday, Jun 16,2016",boxscore,BOS,,BAL,L,1,5,,37-28,2,1,Wilson,Rodriguez,,02:53,N,36757,-,
684,USW00014739,"BOSTON, MA US",6/17/16,8.28,0.12,0,66,250,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Jun 17,2016",boxscore,BOS,,SEA,L,4,8,,37-29,2,1,Iwakuma,Elias,Cishek,02:49,N,35896,--,
694,USW00014739,"BOSTON, MA US",6/18/16,9.84,0,0,66,90,18.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Jun 18,2016",boxscore,BOS,,SEA,W,6,2,,38-29,2,1,Porcello,Sampson,,02:53,D,37195,+,
704,USW00014739,"BOSTON, MA US",6/19/16,11.63,0,0,68,200,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Jun 19,2016",boxscore,BOS,,SEA,W,2,1,,39-29,2,1,Price,Diaz,Kimbrel,03:05,D,37211,++,
717,USW00014739,"BOSTON, MA US",6/20/16,12.75,0,0,71,200,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Monday, Jun 20,2016",boxscore,BOS,,CHW,L,1,3,10,39-30,2,1,Duke,Kimbrel,Robertson,03:33,N,36291,-,
724,USW00014739,"BOSTON, MA US",6/21/16,12.97,0.02,0,73,230,23.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Jun 21,2016",boxscore,BOS,,CHW,L,1,3,,39-31,2,1,Sale,Buchholz,Robertson,02:54,N,36544,--,
734,USW00014739,"BOSTON, MA US",6/22/16,9.62,0,0,72,320,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Jun 22,2016",boxscore,BOS,,CHW,L,6,8,,39-32,2,2,Jennings,Uehara,Duke,03:38,N,37413,---,
744,USW00014739,"BOSTON, MA US",6/23/16,8.95,0,0,69,100,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Thursday, Jun 23,2016",boxscore,BOS,,CHW,W-wo,8,7,10,40-32,2,1.5,Kimbrel,Purke,,04:25,D,37790,+,
823,USW00014739,"BOSTON, MA US",7/1/16,11.41,0.2,0,76,180,25.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Jul 1,2016",boxscore,BOS,,LAA,W,5,4,,43-36,2,4,Wright,Chacin,Kimbrel,03:36,N,37117,+,
834,USW00014739,"BOSTON, MA US",7/2/16,12.75,0,0,73,290,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Jul 2,2016",boxscore,BOS,,LAA,L,2,21,,43-37,2,4,Santiago,Buchholz,,03:38,N,36552,-,
844,USW00014739,"BOSTON, MA US",7/3/16,10.96,0,0,73,230,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Jul 3,2016",boxscore,BOS,,LAA,W,10,5,,44-37,2,3,O'Sullivan,Shoemaker,,03:52,D,36801,+,
854,USW00014739,"BOSTON, MA US",7/4/16,11.86,0,0,77,230,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Monday, Jul 4,2016",boxscore,BOS,,TEX,W,12,5,,45-37,2,2,Porcello,Martinez,,03:40,D,36253,++,
864,USW00014739,"BOSTON, MA US",7/5/16,5.14,0.23,0,70,210,10.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Jul 5,2016",boxscore,BOS,,TEX,L,2,7,,45-38,3,3,Ramos,Price,,03:21,N,35964,-,
872,USW00014739,"BOSTON, MA US",7/6/16,8.95,0,0,78,230,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Jul 6,2016",boxscore,BOS,,TEX,W,11,6,,46-38,3,3,Wright,Perez,,03:19,N,37175,+,
884,USW00014739,"BOSTON, MA US",7/8/16,10.51,0.02,0,63,70,16.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Jul 8,2016",boxscore,BOS,,TBR,W,6,5,,47-38,3,2,Ross,Archer,Uehara,03:20,N,37739,++,
894,USW00014739,"BOSTON, MA US",7/9/16,9.62,0.11,0,62,90,16.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Jul 9,2016",boxscore,BOS,,TBR,W,4,1,,48-38,2,2,Porcello,Moore,Uehara,02:43,D,36900,+++,
904,USW00014739,"BOSTON, MA US",7/10/16,6.26,0.09,0,62,50,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Jul 10,2016",boxscore,BOS,,TBR,W,4,0,,49-38,2,2,Price,Odorizzi,,02:31,D,36669,++++,
944,USW00014739,"BOSTON, MA US",7/19/16,10.74,0,0,78,330,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Jul 19,2016",boxscore,BOS,,SFG,W,4,0,,52-39,2,0.5,Porcello,Peavy,,02:42,N,38082,+,
954,USW00014739,"BOSTON, MA US",7/20/16,10.29,0,0,74,320,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Jul 20,2016",boxscore,BOS,,SFG,W,11,7,,53-39,1,up 0.5,Barnes,Cain,,03:46,N,38201,++,
964,USW00014739,"BOSTON, MA US",7/21/16,9.62,0,0,79,220,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Thursday, Jul 21,2016",boxscore,BOS,,MIN,W,13,2,,54-39,1,up 0.5,Wright,Duffey,,02:45,N,37566,+++,
974,USW00014739,"BOSTON, MA US",7/22/16,17.22,0,0,84,230,25.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Jul 22,2016",boxscore,BOS,,MIN,L,1,2,,54-40,2,0.5,Gibson,Rodriguez,Kintzler,03:00,N,37001,-,
984,USW00014739,"BOSTON, MA US",7/23/16,10.74,0,0,83,330,29.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Jul 23,2016",boxscore,BOS,,MIN,L,9,11,,54-41,2,1.5,Pressly,Layne,Kintzler,04:11,N,37600,--,
994,USW00014739,"BOSTON, MA US",7/24/16,7.83,0,0,77,270,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Jul 24,2016",boxscore,BOS,,MIN,W,8,7,,55-41,2,1.5,Porcello,Milone,Ziegler,03:15,D,36806,+,
1004,USW00014739,"BOSTON, MA US",7/25/16,8.72,0,0,76,190,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Monday, Jul 25,2016",boxscore,BOS,,DET,L,2,4,,55-42,2,2.5,Verlander,Pomeranz,Rodriguez,03:27,N,37479,-,
1017,USW00014739,"BOSTON, MA US",7/26/16,12.53,0,0,84,300,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Jul 26,2016",boxscore,BOS,,DET,L,8,9,,55-43,3,2.5,Wilson,Ross,Rodriguez,03:33,N,38378,--,
1024,USW00014739,"BOSTON, MA US",7/27/16,9.62,0,0,81,110,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Jul 27,2016",boxscore,BOS,,DET,L,3,4,,55-44,3,2.5,Rondon,Ziegler,Wilson,02:55,D,37842,---,
1154,USW00014739,"BOSTON, MA US",8/9/16,10.96,0,0,75,120,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Aug 9,2016",boxscore,BOS,,NYY,W,5,3,,61-50,3,1.5,Porcello,Severino,Barnes,03:13,N,38089,+,
1164,USW00014739,"BOSTON, MA US",8/10/16,11.41,0.23,0,74,220,25.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Aug 10,2016",boxscore,BOS,,NYY,L,4,9,,61-51,3,2.5,Clippard,Abad,,04:15,N,37779,-,
1174,USW00014739,"BOSTON, MA US",8/11/16,9.84,0,0,83,230,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Thursday, Aug 11,2016",boxscore,BOS,,NYY,L,2,4,,61-52,3,3,Cessa,Ziegler,Betances,03:02,N,38161,--,
1184,USW00014739,"BOSTON, MA US",8/12/16,13.2,0.01,0,86,250,23.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Aug 12,2016",boxscore,BOS,,ARI,W,9,4,,62-52,3,2.5,Price,Corbin,,02:53,N,37555,+,
1194,USW00014739,"BOSTON, MA US",8/13/16,10.29,0.34,0,74,320,21.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Aug 13,2016",boxscore,BOS,,ARI,W,6,3,,63-52,3,2,Ross,Bradley,Kimbrel,03:12,N,37653,++,
1204,USW00014739,"BOSTON, MA US",8/14/16,11.41,0.18,0,80,210,21.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Aug 14,2016",boxscore,BOS,,ARI,W,16,2,,64-52,3,2,Porcello,Greinke,,02:49,D,36842,+++,
1324,USW00014739,"BOSTON, MA US",8/26/16,9.62,0,0,80,290,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Aug 26,2016",boxscore,BOS,,KCR,L,3,6,,71-57,2,1,Kennedy,Wright,Herrera,03:14,N,38134,---,
1334,USW00014739,"BOSTON, MA US",8/27/16,9.17,0,0,78,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Aug 27,2016",boxscore,BOS,,KCR,W,8,3,,72-57,2,1,Price,Duffy,,03:03,N,37933,+,
1344,USW00014739,"BOSTON, MA US",8/28/16,10.74,0,0,72,110,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Aug 28,2016",boxscore,BOS,,KCR,L,4,10,,72-58,2,2,Strahm,Rodriguez,,03:25,N,37337,-,
1354,USW00014739,"BOSTON, MA US",8/29/16,13.42,0,0,77,320,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Monday, Aug 29,2016",boxscore,BOS,,TBR,W,9,4,,73-58,2,2,Porcello,Andriese,,03:11,N,36948,+,
1363,USW00014739,"BOSTON, MA US",8/30/16,9.17,0,0,71,110,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Aug 30,2016",boxscore,BOS,,TBR,L,3,4,,73-59,2,2,Romero,Buchholz,Colome,03:11,N,37083,-,
1374,USW00014739,"BOSTON, MA US",8/31/16,11.86,0,0,74,230,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Aug 31,2016",boxscore,BOS,,TBR,W,8,6,,74-59,2,2,Tazawa,Ramirez,Kimbrel,03:10,D,36786,+,
1484,USW00014739,"BOSTON, MA US",9/12/16,8.95,0,0,66,110,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Monday, Sep 12,2016",boxscore,BOS,,BAL,W,12,2,,81-62,1,up 2.0,Price,Miley,,02:40,N,37551,++,
1494,USW00014739,"BOSTON, MA US",9/13/16,11.41,0,0,70,220,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Tuesday, Sep 13,2016",boxscore,BOS,,BAL,L,3,6,,81-63,1,up 2.0,Bundy,Pomeranz,Britton,03:29,N,38041,-,
1504,USW00014739,"BOSTON, MA US",9/14/16,14.09,0.06,0,74,330,25.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Wednesday, Sep 14,2016",boxscore,BOS,,BAL,L,0,1,,81-64,1,up 1.0,Gausman,Porcello,Britton,02:35,N,37973,--,
1517,USW00014739,"BOSTON, MA US",9/15/16,10.07,0,0,63,50,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Thursday, Sep 15,2016",boxscore,BOS,,NYY,W-wo,7,5,,82-64,1,up 2.0,Kelly,Betances,,03:52,N,37767,+,
1524,USW00014739,"BOSTON, MA US",9/16/16,10.51,0,0,62,120,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Sep 16,2016",boxscore,BOS,,NYY,W,7,4,,83-64,1,up 2.0,Buchholz,Cessa,Kimbrel,03:13,N,37927,++,
1534,USW00014739,"BOSTON, MA US",9/17/16,11.86,0,0,65,200,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Sep 17,2016",boxscore,BOS,,NYY,W,6,5,,84-64,1,up 3.0,Barnes,Warren,Kimbrel,03:36,D,37267,+++,
1544,USW00014739,"BOSTON, MA US",9/18/16,12.97,0,0,73,220,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Sep 18,2016",boxscore,BOS,,NYY,W,5,4,,85-64,1,up 3.0,Scott,Clippard,Uehara,03:31,N,37306,++++,
1653,USW00014739,"BOSTON, MA US",9/30/16,17.67,0.13,0,58,50,21.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Friday, Sep 30,2016",boxscore,BOS,,TOR,W,5,3,,93-67,1,up 5.0,Ziegler,Biagini,Kimbrel,03:25,N,37661,+,
1674,USW00014739,"BOSTON, MA US",10/1/16,14.99,0.71,0,57,30,23.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Saturday, Oct 1,2016",boxscore,BOS,,TOR,L,3,4,,93-68,1,up 5.0,Osuna,Kimbrel,,03:29,N,37396,-,
1683,USW00014739,"BOSTON, MA US",10/2/16,7.61,0.03,0,55,30,18.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sunday, Oct 2,2016",boxscore,BOS,,TOR,L,1,2,,93-69,1,up 4.0,Sanchez,Ziegler,Osuna,03:14,D,36787,--,
177,USW00014739,"BOSTON, MA US",4/3/17,8.95,0,0,47,110,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, Apr 3,2017",boxscore,BOS,,PIT,W,5,3,,Jan-00,1,Tied,Porcello,Cole,Kimbrel,03:03,D,36594,+,
217,USW00014739,"BOSTON, MA US",4/5/17,8.28,0,0,40,340,14.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, Apr 5,2017",boxscore,BOS,,PIT,W-wo,3,0,12,Feb-00,1,Tied,Kelly,Bastardo,,03:53,N,36137,++,
718,USW00014739,"BOSTON, MA US",4/11/17,11.18,0,0,64,220,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Tuesday, Apr 11,2017",boxscore,BOS,,BAL,W,8,1,,3-Apr,3,0.5,Pomeranz,Bundy,,03:15,N,37497,+,
816,USW00014739,"BOSTON, MA US",4/12/17,7.83,0.02,0,55,290,18.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, Apr 12,2017",boxscore,BOS,,BAL,L,5,12,,4-Apr,3,1.5,Givens,Wright,,03:46,N,32211,-,
918,USW00014739,"BOSTON, MA US",4/13/17,11.18,0,0,53,340,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Thursday, Apr 13,2017",boxscore,BOS,,PIT,W,4,3,,4-May,2,1.5,Barnes,Nicasio,Kimbrel,03:15,D,32400,+,
1018,USW00014739,"BOSTON, MA US",4/14/17,9.4,0,0,51,110,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, Apr 14,2017",boxscore,BOS,,TBR,L,5,10,,5-May,4,2.5,Archer,Porcello,,03:37,N,36813,-,
1118,USW00014739,"BOSTON, MA US",4/15/17,15.88,0,0,54,220,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, Apr 15,2017",boxscore,BOS,,TBR,W,2,1,,5-Jun,3,1.5,Sale,Hunter,Kimbrel,02:54,D,36686,+,
1218,USW00014739,"BOSTON, MA US",4/16/17,17.67,0,0,69,250,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Apr 16,2017",boxscore,BOS,,TBR,W,7,5,,5-Jul,3,1.5,Kelly,Farquhar,Kimbrel,03:46,D,36209,++,
1318,USW00014739,"BOSTON, MA US",4/17/17,14.32,0,0,70,310,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, Apr 17,2017",boxscore,BOS,,TBR,W,4,3,,5-Aug,3,1,Wright,Snell,Kimbrel,03:07,D,37318,+++,
205,USW00014739,"BOSTON, MA US",4/26/17,10.07,0.56,0,50,30,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, Apr 26,2017",boxscore,BOS,,NYY,L,1,3,,9-Nov,3,3,Severino,Porcello,Chapman,03:16,N,32072,-,
218,USW00014739,"BOSTON, MA US",4/27/17,6.71,0,0,53,90,14.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Thursday, Apr 27,2017",boxscore,BOS,,NYY,L,0,3,,10-Nov,3,3.5,Tanaka,Sale,,02:21,N,34054,--,
225,USW00014739,"BOSTON, MA US",4/28/17,7.61,0.01,0,63,240,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, Apr 28,2017",boxscore,BOS,,CHC,W,5,4,,10-Dec,3,2.5,Pomeranz,Arrieta,Kimbrel,03:28,N,37054,+,
233,USW00014739,"BOSTON, MA US",4/29/17,13.2,0,0,73,270,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, Apr 29,2017",boxscore,BOS,,CHC,L,4,7,,11-Dec,3,3.5,Lackey,Wright,Davis,03:00,D,36776,-,
245,USW00014739,"BOSTON, MA US",4/30/17,11.63,0.01,0,55,110,19.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Apr 30,2017",boxscore,BOS,,CHC,W,6,2,,13-11,3,2.5,Barnes,Uehara,,03:28,N,36916,+,
265,USW00014739,"BOSTON, MA US",5/1/17,9.17,0,0,47,340,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, May 1,2017",boxscore,BOS,,BAL,L,2,5,,13-12,3,3.5,Bundy,Porcello,Brach,03:10,N,33489,-,
274,USW00014739,"BOSTON, MA US",5/2/17,8.05,0.19,0,49,280,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Tuesday, May 2,2017",boxscore,BOS,,BAL,W,5,2,,14-12,3,2.5,Sale,Asher,Kimbrel,02:33,N,32932,+,
285,USW00014739,"BOSTON, MA US",5/3/17,14.76,0,0,56,290,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, May 3,2017",boxscore,BOS,,BAL,W,4,2,,15-12,3,2.5,Pomeranz,Gausman,Kimbrel,03:24,N,33162,++,
294,USW00014739,"BOSTON, MA US",5/4/17,11.86,0,0,51,110,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Thursday, May 4,2017",boxscore,BOS,,BAL,L,3,8,,15-13,3,3,Wilson,Kendrick,,03:21,N,36563,-,
365,USW00014739,"BOSTON, MA US",5/12/17,8.28,0.01,0,49,80,16.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, May 12,2017",boxscore,BOS,,TBR,L,4,5,,18-17,3,4.5,Cobb,Porcello,Colome,03:24,N,36496,-,
375,USW00014739,"BOSTON, MA US",5/13/17,11.86,0.02,0,49,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, May 13,2017",boxscore,BOS,,TBR,W,6,3,,19-17,3,3.5,Sale,Snell,Kimbrel,02:54,D,35447,+,
385,USW00014739,"BOSTON, MA US",5/14/17,17.9,0.95,0,48,20,25.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, May 14,2017",boxscore,BOS,,TBR,L,2,11,,19-18,3,4,Andriese,Pomeranz,,04:32,D,35080,-,
455,USW00014739,"BOSTON, MA US",5/23/17,6.49,0,0,57,350,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Tuesday, May 23,2017",boxscore,BOS,,TEX,W,11,6,,23-21,3,3.5,Porcello,Cashner,,03:23,N,34769,++,
465,USW00014739,"BOSTON, MA US",5/24/17,5.82,0,0,59,100,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, May 24,2017",boxscore,BOS,,TEX,W,9,4,,24-21,3,3.5,Sale,Dyson,,02:59,N,36089,+++,
475,USW00014739,"BOSTON, MA US",5/25/17,14.99,0.63,0,53,60,23.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Thursday, May 25,2017",boxscore,BOS,,TEX,W,6,2,,25-21,3,3,Pomeranz,Martinez,,03:23,N,33484,++++,
485,USW00014739,"BOSTON, MA US",5/26/17,10.29,0.55,0,53,10,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, May 26,2017",boxscore,BOS,,SEA,W,3,0,,26-21,2,2,Rodriguez,Gallardo,Kimbrel,03:11,N,35080,+++++,
495,USW00014739,"BOSTON, MA US",5/27/17,9.17,0,0,56,110,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, May 27,2017",boxscore,BOS,,SEA,W,6,0,,27-21,2,2,Johnson,Whalen,,02:23,D,36985,++++++,
505,USW00014739,"BOSTON, MA US",5/28/17,8.05,0,0,58,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, May 28,2017",boxscore,BOS,,SEA,L,0,5,,27-22,2,3,Bergman,Porcello,,03:14,D,37174,-,
625,USW00014739,"BOSTON, MA US",6/9/17,10.07,0,0,63,360,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, Jun 9,2017",boxscore,BOS,,DET,W,5,3,,33-27,2,3,Barnes,Wilson,Kimbrel,03:36,N,36853,+,
635,USW00014739,"BOSTON, MA US",6/10/17,11.41,0,0,73,230,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, Jun 10,2017",boxscore,BOS,,DET,W,11,3,,34-27,2,3,Sale,Saupold,,03:39,N,37162,++,
645,USW00014739,"BOSTON, MA US",6/11/17,14.32,0,0,79,230,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Jun 11,2017",boxscore,BOS,,DET,L,3,8,,34-28,2,4,Norris,Pomeranz,,04:06,N,35457,-,
655,USW00014739,"BOSTON, MA US",6/12/17,10.96,0,0,84,230,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, Jun 12,2017",boxscore,BOS,,PHI,W-wo,6,5,11,35-28,2,4,Barnes,Fien,,04:16,N,36757,+,
665,USW00014739,"BOSTON, MA US",6/13/17,10.51,0.53,0,85,310,31.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Tuesday, Jun 13,2017",boxscore,BOS,,PHI,W-wo,4,3,12,36-28,2,3,Abad,Garcia,,04:24,N,37141,++,
755,USW00014739,"BOSTON, MA US",6/23/17,12.08,0,0,76,190,25.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, Jun 23,2017",boxscore,BOS,,LAA,W,9,4,,41-32,1,Tied,Porcello,Meyer,,03:07,N,37034,+,
765,USW00014739,"BOSTON, MA US",6/24/17,12.97,0.08,0,76,270,23.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, Jun 24,2017",boxscore,BOS,,LAA,L,3,6,,41-33,1,Tied,Ramirez,Price,Parker,03:34,N,36868,-,
775,USW00014739,"BOSTON, MA US",6/25/17,10.51,0,0,77,290,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Jun 25,2017",boxscore,BOS,,LAA,L,2,4,,41-34,1,Tied,Bridwell,Fister,Petit,02:50,D,36474,--,
785,USW00014739,"BOSTON, MA US",6/26/17,11.41,0,0,71,230,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, Jun 26,2017",boxscore,BOS,,MIN,W,4,1,,42-34,1,Tied,Sale,Berrios,Kimbrel,02:55,N,37172,+,
795,USW00014739,"BOSTON, MA US",6/27/17,9.62,0.08,0,68,260,31.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Tuesday, Jun 27,2017",boxscore,BOS,,MIN,W,9,2,,43-34,1,up 1.0,Pomeranz,Santiago,,03:18,N,36804,++,
805,USW00014739,"BOSTON, MA US",6/28/17,10.96,0,0,67,280,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Wednesday, Jun 28,2017",boxscore,BOS,,MIN,L,1,4,,43-35,1,Tied,Mejia,Porcello,Kintzler,03:14,N,37487,-,
817,USW00014739,"BOSTON, MA US",6/29/17,12.53,0,0,71,210,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Thursday, Jun 29,2017",boxscore,BOS,,MIN,W,6,3,,44-35,1,up 1.0,Price,Gibson,Kimbrel,03:24,N,37445,+,
935,USW00014739,"BOSTON, MA US",7/14/17,7.38,0,0,62,90,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Friday, Jul 14,2017",boxscore,BOS,,NYY,W-wo,5,4,,51-39,1,up 3.5,Scott,Chapman,,03:27,N,37570,+,
945,USW00014739,"BOSTON, MA US",7/15/17,6.71,0,0,66,110,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Saturday, Jul 15,2017",boxscore,BOS,,NYY,L,1,4,16,51-40,1,up 2.5,Heller,Fister,,05:50,D,36936,-,
955,USW00014739,"BOSTON, MA US",7/16/17,9.62,0,0,74,110,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Jul 16 (1),2017",boxscore,BOS,,NYY,L,0,3,,51-41,1,up 3.0,Sabathia,Porcello,Chapman,03:13,D,37343,--,
965,USW00014739,"BOSTON, MA US",7/16/17,9.62,0,0,74,110,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Sunday, Jul 16 (2),2017",boxscore,BOS,,NYY,W,3,0,,52-41,1,up 3.0,Price,Tanaka,Kimbrel,02:59,N,36719,+,
975,USW00014739,"BOSTON, MA US",7/17/17,8.5,0,0,76,180,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Monday, Jul 17,2017",boxscore,BOS,,TOR,L,3,4,,52-42,1,up 2.0,Tepera,Hembree,Osuna,03:18,N,36144,-,
